id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado,motivo_rechazo
2,2465,,7076.25,ABIERTO,fecha_vacia
4,14299,,274.63,ABIERTO,fecha_vacia
5,12908,,9377.69,RECHAZADO,fecha_vacia
6,5107,,10535.74,NAN,fecha_vacia
7,3379,,10513.3,ABIERTO,fecha_vacia
9,18118,,,CERRADO,"fecha_vacia,monto_vacio"
10,19947,,8801.03,CERRADO,fecha_vacia
11,6448,,1.61938,ABIERTO,fecha_vacia
12,4096,,,RECHAZADO,"fecha_vacia,monto_vacio"
14,8260,,,NAN,"fecha_vacia,monto_vacio"
15,19142,,14533.77,ABIERTO,fecha_vacia
16,16312,,,ABIERTO,"fecha_vacia,monto_vacio"
17,2112,,11.99556,CERRADO,fecha_vacia
18,4445,,,NAN,"fecha_vacia,monto_vacio"
19,5547,,5714.06,CERRADO,fecha_vacia
20,21508,,8867.02,NAN,fecha_vacia
21,8637,,4335.01,ABIERTO,fecha_vacia
22,6924,,10436.86,CERRADO,fecha_vacia
23,5261,,6636.22,ABIERTO,fecha_vacia
25,719,,3257.92,NAN,fecha_vacia
26,7930,,1326.94,ABIERTO,fecha_vacia
28,3123,,,CERRADO,"fecha_vacia,monto_vacio"
29,18397,,1485.06,ABIERTO,fecha_vacia
30,20396,,,NAN,"fecha_vacia,monto_vacio"
31,14500,,,CERRADO,"fecha_vacia,monto_vacio"
32,20349,,-6166.3,NAN,fecha_vacia
34,14393,,,CERRADO,"fecha_vacia,monto_vacio"
35,15273,,13959.68,CERRADO,fecha_vacia
37,504,,1.14351,RECHAZADO,fecha_vacia
38,1202,,2154.09,CERRADO,fecha_vacia
39,551,,,ABIERTO,"fecha_vacia,monto_vacio"
40,8220,,1.08173,CERRADO,fecha_vacia
41,4657,,9.2686,NAN,fecha_vacia
42,3586,,11247.07,NAN,fecha_vacia
43,11680,,10535.93,CERRADO,fecha_vacia
44,17906,,8.58031,ABIERTO,fecha_vacia
46,2860,,,RECHAZADO,"fecha_vacia,monto_vacio"
47,6904,,7795.35,ABIERTO,fecha_vacia
48,503,,3740.29,RECHAZADO,fecha_vacia
49,12852,,4828.13,NAN,fecha_vacia
50,25778,,11437.5,NAN,fecha_vacia
51,1344,,14278.06,NAN,fecha_vacia
52,22187,,4886.0,CERRADO,fecha_vacia
53,11106,,2182.44,CERRADO,fecha_vacia
54,14544,,2132.56,CERRADO,fecha_vacia
55,19232,,5517.33,NAN,fecha_vacia
56,14610,,,ABIERTO,"fecha_vacia,monto_vacio"
57,11757,,3.21508,CERRADO,fecha_vacia
58,9803,,,NAN,"fecha_vacia,monto_vacio"
59,4806,,2856.71,CERRADO,fecha_vacia
60,15711,,2916.65,CERRADO,fecha_vacia
61,16070,,,NAN,"fecha_vacia,monto_vacio"
62,14407,,8.01321,CERRADO,fecha_vacia
63,22281,,,NAN,"fecha_vacia,monto_vacio"
64,10093,,11.00428,CERRADO,fecha_vacia
65,19562,,14057.33,CERRADO,fecha_vacia
68,4916,,5792.24,NAN,fecha_vacia
69,14892,,14508.66,NAN,fecha_vacia
70,18587,,5.91293,CERRADO,fecha_vacia
71,19836,,5377.67,NAN,fecha_vacia
72,23320,,7245.79,NAN,fecha_vacia
73,14099,,11459.27,ABIERTO,fecha_vacia
74,3314,,14502.38,CERRADO,fecha_vacia
75,9867,,1.88827,ABIERTO,fecha_vacia
76,18282,,,NAN,"fecha_vacia,monto_vacio"
77,8700,,9.94891,ABIERTO,fecha_vacia
78,4535,,8534.49,CERRADO,fecha_vacia
79,7460,,11711.43,CERRADO,fecha_vacia
80,23359,,,NAN,"fecha_vacia,monto_vacio"
81,10359,,,CERRADO,"fecha_vacia,monto_vacio"
83,16988,,14.09071,NAN,fecha_vacia
84,2227,,10.15882,ABIERTO,fecha_vacia
85,7153,,5079.34,NAN,fecha_vacia
86,25554,,,NAN,"fecha_vacia,monto_vacio"
87,23591,,1777.81,ABIERTO,fecha_vacia
88,14027,,10253.14,ABIERTO,fecha_vacia
89,12761,,14.87071,ABIERTO,fecha_vacia
90,21277,,6602.43,RECHAZADO,fecha_vacia
91,80,,12.22982,ABIERTO,fecha_vacia
92,13736,,,NAN,"fecha_vacia,monto_vacio"
94,15160,,3322.55,NAN,fecha_vacia
96,17713,,7797.66,ABIERTO,fecha_vacia
97,13086,,,RECHAZADO,"fecha_vacia,monto_vacio"
98,19925,,1.22819,NAN,fecha_vacia
100,24052,,2.34267,NAN,fecha_vacia
102,8858,,5155.2,CERRADO,fecha_vacia
103,19170,,10183.94,NAN,fecha_vacia
104,1153,,2580.4,NAN,fecha_vacia
106,2501,,511.1,ABIERTO,fecha_vacia
107,17613,,11560.34,NAN,fecha_vacia
108,1500,,,ABIERTO,"fecha_vacia,monto_vacio"
109,9413,,4.3566,CERRADO,fecha_vacia
110,16745,,8484.21,ABIERTO,fecha_vacia
111,2641,,11886.43,CERRADO,fecha_vacia
112,6548,,13134.7,CERRADO,fecha_vacia
113,8649,,10126.28,ABIERTO,fecha_vacia
115,24834,,12189.58,ABIERTO,fecha_vacia
116,8222,,,ABIERTO,"fecha_vacia,monto_vacio"
117,12941,2025-12-12,,ABIERTO,monto_vacio
118,21719,,,ABIERTO,"fecha_vacia,monto_vacio"
119,1874,,5171.14,NAN,fecha_vacia
120,21805,,12403.48,ABIERTO,fecha_vacia
121,3645,,13084.42,RECHAZADO,fecha_vacia
122,16832,,7489.48,NAN,fecha_vacia
123,8567,,5749.7,RECHAZADO,fecha_vacia
124,4535,,9389.56,NAN,fecha_vacia
125,17509,,1154.08,CERRADO,fecha_vacia
126,13007,,13629.62,RECHAZADO,fecha_vacia
127,424,,1595.62,CERRADO,fecha_vacia
128,24167,,,NAN,"fecha_vacia,monto_vacio"
129,8836,,1652.79,ABIERTO,fecha_vacia
130,14357,,,RECHAZADO,"fecha_vacia,monto_vacio"
131,21837,,13932.1,NAN,fecha_vacia
132,1290,,9918.51,NAN,fecha_vacia
133,5720,,,ABIERTO,"fecha_vacia,monto_vacio"
134,7223,,,ABIERTO,"fecha_vacia,monto_vacio"
135,24992,,302.32,ABIERTO,fecha_vacia
136,9670,,6.04015,CERRADO,fecha_vacia
137,23959,,13295.74,CERRADO,fecha_vacia
138,22384,,9.05184,ABIERTO,fecha_vacia
139,21305,,12134.64,RECHAZADO,fecha_vacia
140,21427,,12.52296,ABIERTO,fecha_vacia
141,25512,,8366.08,ABIERTO,fecha_vacia
142,14587,,,ABIERTO,"fecha_vacia,monto_vacio"
143,2790,2025-10-13,,RECHAZADO,monto_vacio
144,7956,,8822.7,ABIERTO,fecha_vacia
145,5744,,3902.65,ABIERTO,fecha_vacia
147,3192,,9549.21,CERRADO,fecha_vacia
148,9556,,,CERRADO,"fecha_vacia,monto_vacio"
149,9146,,2981.78,ABIERTO,fecha_vacia
151,2464,,3627.56,CERRADO,fecha_vacia
153,7402,,,ABIERTO,"fecha_vacia,monto_vacio"
154,11333,,,NAN,"fecha_vacia,monto_vacio"
155,17654,,13419.79,NAN,fecha_vacia
157,22187,,4984.64,CERRADO,fecha_vacia
158,8637,,12772.25,RECHAZADO,fecha_vacia
161,12821,,1663.96,NAN,fecha_vacia
162,17558,,2904.94,ABIERTO,fecha_vacia
163,3344,,,CERRADO,"fecha_vacia,monto_vacio"
164,3953,,14622.5,CERRADO,fecha_vacia
165,3478,,5.98933,CERRADO,fecha_vacia
166,3400,,11123.38,NAN,fecha_vacia
167,19661,,5398.38,CERRADO,fecha_vacia
168,6501,,3552.32,CERRADO,fecha_vacia
169,23178,,4944.75,CERRADO,fecha_vacia
170,14794,,,ABIERTO,"fecha_vacia,monto_vacio"
171,6401,,13.25853,RECHAZADO,fecha_vacia
172,10449,,3349.56,ABIERTO,fecha_vacia
174,25761,,9433.77,RECHAZADO,fecha_vacia
176,14992,,7840.46,ABIERTO,fecha_vacia
177,15938,,13797.55,NAN,fecha_vacia
178,22497,,12.18869,CERRADO,fecha_vacia
179,12699,,1.45235,NAN,fecha_vacia
180,13273,,14255.51,NAN,fecha_vacia
181,3779,,2915.04,ABIERTO,fecha_vacia
182,6051,,4.0836,ABIERTO,fecha_vacia
183,15820,,,RECHAZADO,"fecha_vacia,monto_vacio"
185,23960,,2485.0,CERRADO,fecha_vacia
186,14257,2026-01-14,,ABIERTO,monto_vacio
187,17116,,8263.06,RECHAZADO,fecha_vacia
188,9285,,3554.71,NAN,fecha_vacia
189,11691,,,ABIERTO,"fecha_vacia,monto_vacio"
190,15565,,,ABIERTO,"fecha_vacia,monto_vacio"
193,19056,2025-12-02,,ABIERTO,monto_vacio
194,13685,,8942.15,ABIERTO,fecha_vacia
195,3021,,1043.99,RECHAZADO,fecha_vacia
196,4434,,1158.74,CERRADO,fecha_vacia
197,5812,,12.80656,NAN,fecha_vacia
198,3833,,9.01627,RECHAZADO,fecha_vacia
199,15158,,,ABIERTO,"fecha_vacia,monto_vacio"
201,10253,,,NAN,"fecha_vacia,monto_vacio"
202,6793,2025-08-30,,CERRADO,monto_vacio
203,21133,,4564.31,RECHAZADO,fecha_vacia
204,11440,,,RECHAZADO,"fecha_vacia,monto_vacio"
205,15065,,14726.41,CERRADO,fecha_vacia
207,10666,,10303.63,ABIERTO,fecha_vacia
208,5006,,4.50493,CERRADO,fecha_vacia
209,16837,,11810.11,NAN,fecha_vacia
210,14034,,12.03608,CERRADO,fecha_vacia
212,14352,,8.84732,NAN,fecha_vacia
214,16890,,2780.04,ABIERTO,fecha_vacia
216,8726,,4.34645,NAN,fecha_vacia
217,14431,,2.51093,ABIERTO,fecha_vacia
219,25727,,,CERRADO,"fecha_vacia,monto_vacio"
220,2535,,5.00106,ABIERTO,fecha_vacia
221,2986,,9139.78,CERRADO,fecha_vacia
222,13632,,14814.18,CERRADO,fecha_vacia
223,2629,,3.64277,NAN,fecha_vacia
224,19260,,5466.39,ABIERTO,fecha_vacia
225,19366,,851.04,NAN,fecha_vacia
226,12950,,2683.64,CERRADO,fecha_vacia
228,9398,,,ABIERTO,"fecha_vacia,monto_vacio"
229,16087,,5.95736,CERRADO,fecha_vacia
230,19159,,1517.87,CERRADO,fecha_vacia
231,16670,,12582.5,RECHAZADO,fecha_vacia
232,3014,,9726.96,CERRADO,fecha_vacia
233,11033,,9170.56,ABIERTO,fecha_vacia
234,16501,,,NAN,"fecha_vacia,monto_vacio"
235,23798,,10657.43,ABIERTO,fecha_vacia
236,22678,2025-11-11,,ABIERTO,monto_vacio
237,24184,,13713.94,NAN,fecha_vacia
238,19973,,,RECHAZADO,"fecha_vacia,monto_vacio"
239,22979,,,CERRADO,"fecha_vacia,monto_vacio"
240,15810,,,RECHAZADO,"fecha_vacia,monto_vacio"
242,10437,,14596.52,RECHAZADO,fecha_vacia
243,9965,,4275.37,NAN,fecha_vacia
244,3256,,,ABIERTO,"fecha_vacia,monto_vacio"
245,5447,,14.46474,ABIERTO,fecha_vacia
246,11329,,11681.88,ABIERTO,fecha_vacia
247,23410,,8598.25,NAN,fecha_vacia
248,11871,,804.82,CERRADO,fecha_vacia
249,18003,,14986.14,NAN,fecha_vacia
250,2158,,,ABIERTO,"fecha_vacia,monto_vacio"
251,21022,2025-07-18,,RECHAZADO,monto_vacio
252,2267,,12762.64,ABIERTO,fecha_vacia
253,1765,,10785.64,ABIERTO,fecha_vacia
254,22116,,5059.14,CERRADO,fecha_vacia
256,1939,,7149.72,NAN,fecha_vacia
257,15563,,7905.89,CERRADO,fecha_vacia
258,7251,,35956.0,ABIERTO,fecha_vacia
259,19809,,10058.57,CERRADO,fecha_vacia
260,17781,,14206.04,NAN,fecha_vacia
261,9851,,1092.58,RECHAZADO,fecha_vacia
262,17232,,,ABIERTO,"fecha_vacia,monto_vacio"
263,6744,,8.22853,ABIERTO,fecha_vacia
264,13686,,,ABIERTO,"fecha_vacia,monto_vacio"
265,217,,3763.55,ABIERTO,fecha_vacia
266,18359,,11.32678,RECHAZADO,fecha_vacia
267,13995,,6273.55,NAN,fecha_vacia
268,18702,,5803.93,ABIERTO,fecha_vacia
269,20302,,12935.03,NAN,fecha_vacia
270,21104,,8284.25,ABIERTO,fecha_vacia
271,16423,,12.53138,NAN,fecha_vacia
272,11306,,6748.93,ABIERTO,fecha_vacia
273,14467,,2855.89,ABIERTO,fecha_vacia
274,22521,,6246.09,NAN,fecha_vacia
275,19524,,10334.68,ABIERTO,fecha_vacia
276,24025,,12873.15,CERRADO,fecha_vacia
277,4835,,10216.4,NAN,fecha_vacia
278,12350,,2215.15,NAN,fecha_vacia
279,8178,,10418.51,RECHAZADO,fecha_vacia
280,3145,,2.9351,NAN,fecha_vacia
282,11387,,5370.01,CERRADO,fecha_vacia
283,17276,,8841.01,NAN,fecha_vacia
284,4685,,11406.08,ABIERTO,fecha_vacia
285,17418,,5091.35,ABIERTO,fecha_vacia
286,14149,,7.31129,ABIERTO,fecha_vacia
287,17519,,2.86986,RECHAZADO,fecha_vacia
288,19817,,2.32109,ABIERTO,fecha_vacia
289,2525,,6583.18,CERRADO,fecha_vacia
290,23857,,3302.24,CERRADO,fecha_vacia
291,367,,9606.53,NAN,fecha_vacia
293,10362,,8.07752,NAN,fecha_vacia
294,21932,,9926.07,ABIERTO,fecha_vacia
295,11353,,566.0,ABIERTO,fecha_vacia
296,2362,2026-01-11,,RECHAZADO,monto_vacio
297,7821,,3.56643,CERRADO,fecha_vacia
298,6809,,1486.47,NAN,fecha_vacia
300,13999,,331.95,ABIERTO,fecha_vacia
301,19710,,1.42402,CERRADO,fecha_vacia
302,22748,,5352.07,NAN,fecha_vacia
303,1719,,,ABIERTO,"fecha_vacia,monto_vacio"
304,2036,,8381.86,CERRADO,fecha_vacia
305,13740,,,ABIERTO,"fecha_vacia,monto_vacio"
306,11979,,3782.57,NAN,fecha_vacia
307,9896,,9098.49,NAN,fecha_vacia
309,22223,,11.93928,CERRADO,fecha_vacia
310,18660,,7735.22,NAN,fecha_vacia
313,12886,,,ABIERTO,"fecha_vacia,monto_vacio"
314,6169,2025-08-08,,CERRADO,monto_vacio
316,19243,,2098.28,NAN,fecha_vacia
318,18504,,14001.5,CERRADO,fecha_vacia
319,4709,,,CERRADO,"fecha_vacia,monto_vacio"
320,17508,,8.64045,ABIERTO,fecha_vacia
321,15003,,4359.69,ABIERTO,fecha_vacia
322,19178,,10770.63,ABIERTO,fecha_vacia
323,17082,,11204.61,NAN,fecha_vacia
327,8526,,13905.74,RECHAZADO,fecha_vacia
328,19746,,6693.43,ABIERTO,fecha_vacia
329,23344,,10541.76,ABIERTO,fecha_vacia
330,13177,2025-03-09,,NAN,monto_vacio
331,16704,,,NAN,"fecha_vacia,monto_vacio"
333,21160,,6.11637,ABIERTO,fecha_vacia
334,12046,,2537.12,ABIERTO,fecha_vacia
335,12406,,319.52,CERRADO,fecha_vacia
336,23055,2025-12-29,,NAN,monto_vacio
337,15288,,4.48508,NAN,fecha_vacia
338,13062,,,NAN,"fecha_vacia,monto_vacio"
339,8768,,2863.49,ABIERTO,fecha_vacia
340,4853,,8.01606,ABIERTO,fecha_vacia
341,21940,,11.85107,NAN,fecha_vacia
342,5070,,6723.23,NAN,fecha_vacia
343,25543,,4.5643,CERRADO,fecha_vacia
344,9611,,2147.03,CERRADO,fecha_vacia
345,5702,,10398.23,ABIERTO,fecha_vacia
346,16953,,14629.39,CERRADO,fecha_vacia
347,18616,,,CERRADO,"fecha_vacia,monto_vacio"
348,3786,,3.56435,NAN,fecha_vacia
349,18539,,-4.68476,CERRADO,fecha_vacia
351,4779,,,CERRADO,"fecha_vacia,monto_vacio"
353,21230,2025-10-14,,ABIERTO,monto_vacio
354,23874,,12544.63,RECHAZADO,fecha_vacia
355,23407,2025-08-09,,CERRADO,monto_vacio
357,3742,,,NAN,"fecha_vacia,monto_vacio"
359,12112,,2073.55,ABIERTO,fecha_vacia
360,24056,,7083.76,RECHAZADO,fecha_vacia
361,16268,,13927.17,ABIERTO,fecha_vacia
362,18426,,,ABIERTO,"fecha_vacia,monto_vacio"
363,21311,,9959.61,ABIERTO,fecha_vacia
365,18228,,13973.16,CERRADO,fecha_vacia
368,14823,,1629.44,ABIERTO,fecha_vacia
369,15818,,434.28,ABIERTO,fecha_vacia
370,20114,,5559.03,ABIERTO,fecha_vacia
372,941,,10846.29,ABIERTO,fecha_vacia
373,16241,,2754.6,CERRADO,fecha_vacia
374,24381,,,ABIERTO,"fecha_vacia,monto_vacio"
375,3784,,6.27859,CERRADO,fecha_vacia
377,19938,,-3081.44,ABIERTO,fecha_vacia
378,4586,,2051.08,ABIERTO,fecha_vacia
379,19394,,4337.43,CERRADO,fecha_vacia
380,19177,2025-11-20,,NAN,monto_vacio
381,18189,,,CERRADO,"fecha_vacia,monto_vacio"
382,13149,,5788.34,NAN,fecha_vacia
383,3726,,,CERRADO,"fecha_vacia,monto_vacio"
385,3696,,2099.51,NAN,fecha_vacia
386,20394,2026-01-19,,NAN,monto_vacio
388,8625,,4076.28,NAN,fecha_vacia
389,21668,,11042.25,ABIERTO,fecha_vacia
390,840,,10747.46,ABIERTO,fecha_vacia
391,24690,,5736.62,NAN,fecha_vacia
392,20920,,1035.65,CERRADO,fecha_vacia
393,19824,,,NAN,"fecha_vacia,monto_vacio"
396,986,,8896.66,ABIERTO,fecha_vacia
397,22624,,6819.88,CERRADO,fecha_vacia
398,10478,,7566.63,ABIERTO,fecha_vacia
399,1386,,1160.69,ABIERTO,fecha_vacia
401,12559,,,RECHAZADO,"fecha_vacia,monto_vacio"
403,9469,,3.66472,CERRADO,fecha_vacia
404,4048,,,NAN,"fecha_vacia,monto_vacio"
405,17081,,13.44595,ABIERTO,fecha_vacia
406,13593,,1225.41,CERRADO,fecha_vacia
407,15499,,,ABIERTO,"fecha_vacia,monto_vacio"
408,15018,,13987.17,NAN,fecha_vacia
409,4598,,14385.55,ABIERTO,fecha_vacia
410,20008,,90844.0,NAN,fecha_vacia
411,15930,,,ABIERTO,"fecha_vacia,monto_vacio"
413,15474,,11665.1,CERRADO,fecha_vacia
415,10705,,4.37208,NAN,fecha_vacia
416,1066,,2268.69,RECHAZADO,fecha_vacia
417,24940,,11978.74,ABIERTO,fecha_vacia
418,19027,,,ABIERTO,"fecha_vacia,monto_vacio"
420,15208,,14567.87,RECHAZADO,fecha_vacia
421,5615,,9.7449,NAN,fecha_vacia
422,9973,,5901.69,ABIERTO,fecha_vacia
423,11261,,,ABIERTO,"fecha_vacia,monto_vacio"
424,11599,,2.65634,CERRADO,fecha_vacia
425,6477,,11168.31,ABIERTO,fecha_vacia
426,24821,,9.78635,CERRADO,fecha_vacia
427,19205,,8.9615,NAN,fecha_vacia
428,20511,,1.74182,NAN,fecha_vacia
430,9420,,14797.54,RECHAZADO,fecha_vacia
431,16556,,,CERRADO,"fecha_vacia,monto_vacio"
432,3991,,12934.03,CERRADO,fecha_vacia
433,13660,,4257.18,RECHAZADO,fecha_vacia
434,9923,,10300.58,CERRADO,fecha_vacia
435,15659,,,NAN,"fecha_vacia,monto_vacio"
436,4058,,13.14269,NAN,fecha_vacia
437,23431,,9923.03,RECHAZADO,fecha_vacia
438,20439,,,CERRADO,"fecha_vacia,monto_vacio"
439,23475,,,NAN,"fecha_vacia,monto_vacio"
440,16397,,8.35938,RECHAZADO,fecha_vacia
441,22684,,10554.36,RECHAZADO,fecha_vacia
442,25876,,14722.0,RECHAZADO,fecha_vacia
444,23715,,2.74813,NAN,fecha_vacia
445,7801,2025-01-27,,RECHAZADO,monto_vacio
446,849,,966.15,NAN,fecha_vacia
448,13756,,8492.99,CERRADO,fecha_vacia
449,10005,,9876.19,ABIERTO,fecha_vacia
450,18661,,2919.02,RECHAZADO,fecha_vacia
451,3111,,12498.73,CERRADO,fecha_vacia
454,18671,,14655.73,NAN,fecha_vacia
455,11674,2025-05-22,,CERRADO,monto_vacio
456,6812,,10.45709,NAN,fecha_vacia
457,4234,2025-10-22,,RECHAZADO,monto_vacio
458,22894,,13379.41,NAN,fecha_vacia
459,19084,,11662.9,NAN,fecha_vacia
460,9557,,11367.71,NAN,fecha_vacia
461,9517,,,NAN,"fecha_vacia,monto_vacio"
462,1370,,2238.16,RECHAZADO,fecha_vacia
